# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 12
# 288 K He at 3 bar, V_He/V_LOX=1.21 min^-1, T0=91 K (warms);
# 114 K He at 3.5 bar, V_He/V_LOX=1.3 min^-1, T0=99 K (cools to 86.8 K at 1500 s).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T288K_P3bar_measured,T114K_P3p5bar_measured,T288K_P3bar_calculated,T114K_P3p5bar_calculated
135,91.1931,96.9937,91.2858,96.0810
136,91.1952,96.9755,91.2833,96.0567
137,91.1974,96.9572,91.2809,96.0324
138,91.1995,96.9390,91.2785,96.0081
139,91.2017,96.9207,91.2760,95.9838
140,91.2038,96.9025,91.2736,95.9595
141,91.2060,96.8842,91.2750,95.9362
142,91.2082,96.8659,91.2776,95.9133
143,91.2103,96.8477,91.2801,95.8903
144,91.2125,96.8294,91.2827,95.8674
145,91.2146,96.8112,91.2853,95.8444
146,91.2168,96.7929,91.2878,95.8214
147,91.2190,96.7747,91.2904,95.7985
148,91.2211,96.7564,91.2929,95.7755
149,91.2233,96.7382,91.2955,95.7526
150,91.2254,96.7199,91.2981,95.7296
151,91.2276,96.7017,91.3006,95.7066
152,91.2298,96.6834,91.3032,95.6837
153,91.2319,96.6651,91.3057,95.6607
154,91.2337,96.6469,91.3083,95.6378
155,91.2340,96.6286,91.3109,95.6148
156,91.2342,96.6104,91.3136,95.5944
157,91.2345,96.5921,91.3163,95.5744
158,91.2348,96.5739,91.3191,95.5544
159,91.2351,96.5556,91.3218,95.5345
160,91.2354,96.5374,91.3245,95.5145
161,91.2357,96.5191,91.3273,95.4945
162,91.2360,96.5009,91.3300,95.4745
163,91.2363,96.4826,91.3328,95.4545
164,91.2366,96.4644,91.3355,95.4345
165,91.2369,96.4461,91.3382,95.4145
166,91.2372,96.4278,91.3410,95.3945
167,91.2375,96.4096,91.3437,95.3745
168,91.2378,96.3913,91.3465,95.3545
169,91.2381,96.3731,91.3492,95.3346
170,91.2384,96.3548,91.3520,95.3146
171,91.2386,96.3366,91.3540,95.2944
172,91.2389,96.3183,91.3559,95.2742
173,91.2392,96.3001,91.3579,95.2540
174,91.2395,96.2818,91.3598,95.2338
175,91.2398,96.2636,91.3618,95.2136
176,91.2401,96.2453,91.3637,95.1934
177,91.2404,96.2270,91.3657,95.1732
178,91.2407,96.2088,91.3677,95.1531
179,91.2410,96.1905,91.3696,95.1329
180,91.2413,96.1723,91.3716,95.1127
181,91.2416,96.1540,91.3735,95.0925
182,91.2419,96.1358,91.3755,95.0723
183,91.2422,96.1175,91.3774,95.0521
184,91.2425,96.0993,91.3794,95.0319
185,91.2427,96.0810,91.3814,95.0117
186,91.2430,96.0628,91.3841,94.9921
187,91.2433,96.0445,91.3869,94.9725
188,91.2436,96.0262,91.3896,94.9529
189,91.2439,96.0080,91.3923,94.9333
190,91.2442,95.9897,91.3951,94.9137
191,91.2445,95.9715,91.3978,94.8941
192,91.2448,95.9532,91.4006,94.8745
193,91.2451,95.9350,91.4033,94.8548
194,91.2454,95.9184,91.4061,94.8352
195,91.2457,95.9018,91.4088,94.8156
196,91.2460,95.8852,91.4115,94.7960
197,91.2463,95.8686,91.4143,94.7764
198,91.2466,95.8520,91.4170,94.7568
199,91.2469,95.8354,91.4198,94.7372
200,91.2471,95.8188,91.4225,94.7178
201,91.2474,95.8023,91.4252,94.7006
202,91.2477,95.7857,91.4279,94.6834
203,91.2480,95.7691,91.4306,94.6661
204,91.2483,95.7525,91.4334,94.6489
205,91.2486,95.7359,91.4361,94.6317
206,91.2489,95.7193,91.4388,94.6145
207,91.2492,95.7027,91.4415,94.5973
208,91.2495,95.6861,91.4442,94.5800
209,91.2498,95.6695,91.4469,94.5628
210,91.2501,95.6529,91.4496,94.5456
211,91.2504,95.6363,91.4524,94.5284
212,91.2507,95.6197,91.4551,94.5112
213,91.2510,95.6032,91.4578,94.4939
214,91.2512,95.5866,91.4605,94.4767
215,91.2515,95.5700,91.4632,94.4595
216,91.2518,95.5534,91.4658,94.4415
217,91.2521,95.5368,91.4683,94.4234
218,91.2524,95.5202,91.4709,94.4053
219,91.2527,95.5036,91.4734,94.3873
220,91.2530,95.4870,91.4760,94.3692
221,91.2533,95.4704,91.4785,94.3512
222,91.2536,95.4538,91.4811,94.3331
223,91.2539,95.4372,91.4836,94.3150
224,91.2543,95.4206,91.4862,94.2970
225,91.2549,95.4041,91.4887,94.2789
226,91.2554,95.3875,91.4913,94.2609
227,91.2560,95.3709,91.4939,94.2428
228,91.2565,95.3543,91.4964,94.2248
229,91.2571,95.3377,91.4990,94.2067
230,91.2577,95.3211,91.5015,94.1889
231,91.2582,95.3045,91.5043,94.1740
232,91.2588,95.2879,91.5070,94.1591
233,91.2594,95.2713,91.5098,94.1442
234,91.2599,95.2547,91.5125,94.1293
235,91.2605,95.2381,91.5153,94.1144
236,91.2610,95.2215,91.5180,94.0995
237,91.2616,95.2050,91.5208,94.0846
238,91.2622,95.1884,91.5235,94.0697
239,91.2627,95.1718,91.5263,94.0548
240,91.2633,95.1552,91.5290,94.0399
241,91.2639,95.1386,91.5318,94.0250
242,91.2644,95.1220,91.5345,94.0101
243,91.2650,95.1054,91.5372,93.9952
244,91.2655,95.0888,91.5400,93.9803
245,91.2661,95.0722,91.5427,93.9651
246,91.2667,95.0556,91.5455,93.9485
247,91.2672,95.0390,91.5482,93.9318
248,91.2678,95.0224,91.5509,93.9151
249,91.2683,95.0059,91.5537,93.8985
250,91.2689,94.9893,91.5564,93.8818
251,91.2695,94.9727,91.5591,93.8651
252,91.2700,94.9561,91.5619,93.8484
253,91.2706,94.9397,91.5646,93.8318
254,91.2712,94.9246,91.5673,93.8151
255,91.2717,94.9096,91.5701,93.7984
256,91.2723,94.8945,91.5728,93.7818
257,91.2728,94.8794,91.5755,93.7651
258,91.2734,94.8643,91.5783,93.7484
259,91.2740,94.8493,91.5810,93.7317
260,91.2745,94.8342,91.5837,93.7157
261,91.2751,94.8191,91.5863,93.7015
262,91.2757,94.8040,91.5888,93.6874
263,91.2762,94.7890,91.5914,93.6733
264,91.2768,94.7739,91.5939,93.6592
265,91.2773,94.7588,91.5965,93.6451
266,91.2779,94.7437,91.5990,93.6310
267,91.2785,94.7287,91.6016,93.6169
268,91.2790,94.7136,91.6041,93.6028
269,91.2796,94.6985,91.6067,93.5886
270,91.2801,94.6834,91.6092,93.5745
271,91.2807,94.6684,91.6118,93.5604
272,91.2813,94.6533,91.6143,93.5463
273,91.2818,94.6382,91.6169,93.5322
274,91.2824,94.6231,91.6194,93.5181
275,91.2830,94.6081,91.6220,93.5041
276,91.2835,94.5930,91.6248,93.4906
277,91.2841,94.5779,91.6275,93.4771
278,91.2846,94.5628,91.6303,93.4636
279,91.2852,94.5478,91.6330,93.4500
280,91.2858,94.5327,91.6358,93.4365
281,91.2863,94.5176,91.6385,93.4230
282,91.2869,94.5025,91.6413,93.4095
283,91.2875,94.4875,91.6440,93.3959
284,91.2880,94.4724,91.6468,93.3824
285,91.2886,94.4573,91.6495,93.3689
286,91.2891,94.4422,91.6523,93.3553
287,91.2897,94.4272,91.6550,93.3418
288,91.2903,94.4121,91.6578,93.3283
289,91.2908,94.3970,91.6605,93.3148
290,91.2914,94.3819,91.6633,93.3013
291,91.2919,94.3669,91.6660,93.2880
292,91.2925,94.3518,91.6687,93.2746
293,91.2931,94.3367,91.6715,93.2613
294,91.2937,94.3216,91.6742,93.2479
295,91.2967,94.3066,91.6770,93.2346
296,91.2997,94.2915,91.6797,93.2213
297,91.3027,94.2764,91.6825,93.2079
298,91.3058,94.2613,91.6852,93.1946
299,91.3088,94.2463,91.6879,93.1812
300,91.3118,94.2312,91.6907,93.1679
301,91.3148,94.2161,91.6934,93.1545
302,91.3178,94.2011,91.6962,93.1412
303,91.3209,94.1860,91.6989,93.1279
304,91.3239,94.1709,91.7017,93.1145
305,91.3269,94.1558,91.7044,93.1015
306,91.3299,94.1408,91.7071,93.0889
307,91.3329,94.1257,91.7098,93.0763
308,91.3360,94.1106,91.7125,93.0637
309,91.3390,94.0955,91.7152,93.0511
310,91.3420,94.0805,91.7179,93.0386
311,91.3450,94.0654,91.7206,93.0260
312,91.3481,94.0503,91.7233,93.0134
313,91.3511,94.0364,91.7260,93.0008
314,91.3541,94.0247,91.7287,92.9882
315,91.3571,94.0130,91.7314,92.9756
316,91.3601,94.0012,91.7341,92.9630
317,91.3632,93.9895,91.7368,92.9504
318,91.3662,93.9777,91.7395,92.9378
319,91.3692,93.9660,91.7422,92.9252
320,91.3722,93.9542,91.7448,92.9128
321,91.3753,93.9425,91.7474,92.9006
322,91.3783,93.9307,91.7500,92.8885
323,91.3813,93.9190,91.7525,92.8763
324,91.3843,93.9072,91.7551,92.8642
325,91.3873,93.8955,91.7576,92.8520
326,91.3904,93.8838,91.7602,92.8398
327,91.3934,93.8720,91.7628,92.8277
328,91.3964,93.8603,91.7653,92.8155
329,91.3994,93.8485,91.7679,92.8034
330,91.4025,93.8368,91.7704,92.7912
331,91.4055,93.8250,91.7730,92.7791
332,91.4085,93.8133,91.7756,92.7669
333,91.4115,93.8015,91.7781,92.7548
334,91.4145,93.7898,91.7807,92.7426
335,91.4176,93.7780,91.7833,92.7305
336,91.4206,93.7663,91.7861,92.7183
337,91.4236,93.7546,91.7888,92.7062
338,91.4266,93.7428,91.7916,92.6940
339,91.4297,93.7311,91.7943,92.6819
340,91.4327,93.7193,91.7971,92.6697
341,91.4357,93.7076,91.7999,92.6576
342,91.4387,93.6958,91.8026,92.6455
343,91.4417,93.6841,91.8054,92.6333
344,91.4448,93.6723,91.8081,92.6212
345,91.4478,93.6606,91.8109,92.6090
346,91.4508,93.6488,91.8136,92.5969
347,91.4538,93.6371,91.8164,92.5848
348,91.4568,93.6254,91.8191,92.5726
349,91.4599,93.6136,91.8219,92.5605
350,91.4629,93.6019,91.8246,92.5490
351,91.4659,93.5901,91.8274,92.5382
352,91.4689,93.5784,91.8301,92.5274
353,91.4720,93.5666,91.8328,92.5166
354,91.4750,93.5549,91.8356,92.5059
355,91.4780,93.5431,91.8383,92.4951
356,91.4810,93.5314,91.8410,92.4843
357,91.4840,93.5196,91.8438,92.4735
358,91.4871,93.5079,91.8465,92.4627
359,91.4901,93.4962,91.8493,92.4519
360,91.4931,93.4844,91.8520,92.4411
361,91.4961,93.4727,91.8547,92.4303
362,91.4992,93.4609,91.8575,92.4195
363,91.5022,93.4492,91.8602,92.4087
364,91.5045,93.4374,91.8629,92.3979
365,91.5054,93.4257,91.8655,92.3876
366,91.5062,93.4139,91.8679,92.3775
367,91.5071,93.4022,91.8703,92.3674
368,91.5079,93.3904,91.8728,92.3573
369,91.5088,93.3787,91.8752,92.3472
370,91.5097,93.3670,91.8776,92.3371
371,91.5105,93.3552,91.8801,92.3270
372,91.5114,93.3435,91.8825,92.3168
373,91.5122,93.3308,91.8849,92.3067
374,91.5131,93.3176,91.8874,92.2966
375,91.5140,93.3043,91.8898,92.2865
376,91.5148,93.2910,91.8922,92.2764
377,91.5157,93.2778,91.8947,92.2663
378,91.5165,93.2645,91.8971,92.2562
379,91.5174,93.2512,91.8995,92.2461
380,91.5183,93.2380,91.9020,92.2360
381,91.5191,93.2247,91.9047,92.2246
382,91.5200,93.2114,91.9074,92.2130
383,91.5208,93.1982,91.9102,92.2015
384,91.5217,93.1849,91.9129,92.1899
385,91.5226,93.1716,91.9156,92.1783
386,91.5234,93.1583,91.9184,92.1668
387,91.5243,93.1451,91.9211,92.1552
388,91.5251,93.1318,91.9239,92.1437
389,91.5260,93.1185,91.9266,92.1321
390,91.5268,93.1053,91.9294,92.1206
391,91.5277,93.0920,91.9321,92.1090
392,91.5286,93.0787,91.9348,92.0975
393,91.5294,93.0655,91.9376,92.0859
394,91.5303,93.0522,91.9403,92.0743
395,91.5311,93.0389,91.9431,92.0628
396,91.5320,93.0257,91.9458,92.0542
397,91.5329,93.0124,91.9486,92.0456
398,91.5337,92.9991,91.9513,92.0369
399,91.5346,92.9859,91.9541,92.0283
400,91.5354,92.9726,91.9568,92.0197
401,91.5363,92.9593,91.9596,92.0110
402,91.5372,92.9461,91.9623,92.0024
403,91.5380,92.9328,91.9651,91.9938
404,91.5389,92.9195,91.9678,91.9851
405,91.5397,92.9062,91.9705,91.9765
406,91.5406,92.8930,91.9733,91.9678
407,91.5415,92.8797,91.9760,91.9592
408,91.5423,92.8664,91.9788,91.9506
409,91.5432,92.8532,91.9815,91.9419
410,91.5440,92.8399,91.9842,91.9331
411,91.5449,92.8266,91.9862,91.9230
412,91.5458,92.8134,91.9881,91.9128
413,91.5466,92.8001,91.9901,91.9026
414,91.5475,92.7868,91.9921,91.8924
415,91.5483,92.7736,91.9940,91.8822
416,91.5492,92.7603,91.9960,91.8720
417,91.5501,92.7470,91.9980,91.8618
418,91.5509,92.7338,91.9999,91.8516
419,91.5518,92.7205,92.0019,91.8414
420,91.5526,92.7072,92.0039,91.8312
421,91.5535,92.6940,92.0058,91.8211
422,91.5543,92.6807,92.0078,91.8109
423,91.5552,92.6674,92.0098,91.8007
424,91.5561,92.6542,92.0117,91.7905
425,91.5569,92.6409,92.0138,91.7804
426,91.5578,92.6276,92.0166,91.7710
427,91.5586,92.6143,92.0193,91.7616
428,91.5595,92.6011,92.0221,91.7522
429,91.5604,92.5878,92.0248,91.7428
430,91.5612,92.5745,92.0275,91.7334
431,91.5621,92.5613,92.0303,91.7239
432,91.5629,92.5480,92.0330,91.7145
433,91.5638,92.5353,92.0358,91.7051
434,91.5649,92.5252,92.0385,91.6957
435,91.5662,92.5151,92.0412,91.6863
436,91.5675,92.5051,92.0440,91.6769
437,91.5688,92.4950,92.0467,91.6675
438,91.5701,92.4849,92.0495,91.6581
439,91.5714,92.4749,92.0522,91.6486
440,91.5727,92.4648,92.0550,91.6394
441,91.5740,92.4547,92.0577,91.6308
