# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 12
# 288 K He at 3 bar, V_He/V_LOX=1.21 min^-1, T0=91 K (warms);
# 114 K He at 3.5 bar, V_He/V_LOX=1.3 min^-1, T0=99 K (cools to 86.8 K at 1500 s).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T288K_P3bar_measured,T114K_P3p5bar_measured,T288K_P3bar_calculated,T114K_P3p5bar_calculated
595,91.8709,90.9873,92.4296,90.4423
596,91.8730,90.9789,92.4323,90.4357
597,91.8752,90.9706,92.4351,90.4290
598,91.8774,90.9622,92.4378,90.4223
599,91.8795,90.9538,92.4406,90.4157
600,91.8817,90.9455,92.4433,90.4090
601,91.8838,90.9371,92.4461,90.4024
602,91.8860,90.9288,92.4488,90.3957
603,91.8882,90.9204,92.4516,90.3890
604,91.8903,90.9121,92.4543,90.3824
605,91.8925,90.9037,92.4564,90.3730
606,91.8946,90.8954,92.4583,90.3627
607,91.8968,90.8870,92.4602,90.3524
608,91.8990,90.8787,92.4620,90.3421
609,91.9011,90.8703,92.4639,90.3319
610,91.9033,90.8619,92.4658,90.3216
611,91.9054,90.8536,92.4677,90.3113
612,91.9076,90.8452,92.4695,90.3010
613,91.9098,90.8381,92.4714,90.2907
614,91.9119,90.8315,92.4733,90.2804
615,91.9141,90.8248,92.4752,90.2701
616,91.9162,90.8182,92.4770,90.2598
617,91.9184,90.8115,92.4789,90.2496
618,91.9206,90.8048,92.4808,90.2393
619,91.9227,90.7982,92.4827,90.2290
620,91.9249,90.7915,92.4846,90.2192
621,91.9270,90.7849,92.4865,90.2131
622,91.9292,90.7782,92.4885,90.2070
623,91.9314,90.7715,92.4904,90.2009
624,91.9335,90.7649,92.4924,90.1949
625,91.9357,90.7582,92.4944,90.1888
626,91.9378,90.7516,92.4963,90.1827
627,91.9400,90.7449,92.4983,90.1766
628,91.9422,90.7382,92.5003,90.1706
629,91.9443,90.7316,92.5022,90.1645
630,91.9465,90.7249,92.5042,90.1584
631,91.9486,90.7183,92.5061,90.1524
632,91.9508,90.7116,92.5081,90.1463
633,91.9530,90.7050,92.5101,90.1402
634,91.9551,90.6983,92.5120,90.1341
635,91.9573,90.6916,92.5141,90.1282
636,91.9594,90.6850,92.5169,90.1227
637,91.9616,90.6783,92.5196,90.1172
638,91.9638,90.6717,92.5224,90.1117
639,91.9659,90.6650,92.5251,90.1062
640,91.9681,90.6583,92.5278,90.1007
641,91.9702,90.6517,92.5306,90.0952
642,91.9724,90.6450,92.5333,90.0897
643,91.9745,90.6384,92.5361,90.0842
644,91.9756,90.6317,92.5388,90.0787
645,91.9761,90.6250,92.5416,90.0732
646,91.9765,90.6184,92.5443,90.0677
647,91.9769,90.6117,92.5470,90.0623
648,91.9774,90.6051,92.5498,90.0568
649,91.9778,90.5984,92.5525,90.0513
650,91.9783,90.5918,92.5551,90.0457
651,91.9787,90.5851,92.5570,90.0398
652,91.9791,90.5784,92.5590,90.0339
653,91.9796,90.5718,92.5609,90.0280
654,91.9800,90.5651,92.5629,90.0221
655,91.9805,90.5585,92.5649,90.0163
656,91.9809,90.5518,92.5668,90.0104
657,91.9813,90.5451,92.5688,90.0045
658,91.9818,90.5385,92.5707,89.9986
659,91.9822,90.5318,92.5727,89.9927
660,91.9827,90.5252,92.5747,89.9868
661,91.9831,90.5185,92.5766,89.9810
662,91.9835,90.5118,92.5786,89.9751
663,91.9840,90.5052,92.5805,89.9692
664,91.9844,90.4985,92.5825,89.9633
665,91.9848,90.4919,92.5845,89.9576
666,91.9853,90.4852,92.5867,89.9521
667,91.9857,90.4786,92.5888,89.9466
668,91.9862,90.4719,92.5910,89.9411
669,91.9866,90.4652,92.5931,89.9357
670,91.9870,90.4586,92.5953,89.9302
671,91.9875,90.4519,92.5974,89.9247
672,91.9879,90.4453,92.5996,89.9192
673,91.9884,90.4380,92.6017,89.9137
674,91.9888,90.4296,92.6039,89.9083
675,91.9892,90.4212,92.6060,89.9028
676,91.9897,90.4128,92.6082,89.8973
677,91.9901,90.4044,92.6104,89.8918
678,91.9906,90.3961,92.6125,89.8864
679,91.9910,90.3877,92.6147,89.8809
680,91.9914,90.3793,92.6167,89.8757
681,91.9919,90.3709,92.6187,89.8710
682,91.9923,90.3625,92.6207,89.8663
683,91.9928,90.3541,92.6226,89.8616
684,91.9932,90.3457,92.6246,89.8568
685,91.9936,90.3373,92.6266,89.8521
686,91.9941,90.3289,92.6285,89.8474
687,91.9945,90.3205,92.6305,89.8427
688,91.9949,90.3121,92.6325,89.8380
689,91.9954,90.3037,92.6344,89.8333
690,91.9958,90.2953,92.6364,89.8285
691,91.9963,90.2869,92.6384,89.8238
692,91.9967,90.2785,92.6403,89.8191
693,91.9971,90.2701,92.6423,89.8144
694,91.9976,90.2617,92.6443,89.8097
695,91.9980,90.2534,92.6466,89.8047
696,91.9985,90.2450,92.6494,89.7994
697,91.9989,90.2366,92.6521,89.7941
698,91.9993,90.2282,92.6548,89.7888
699,91.9998,90.2198,92.6576,89.7835
700,92.0002,90.2114,92.6603,89.7782
701,92.0007,90.2030,92.6631,89.7729
702,92.0011,90.1946,92.6658,89.7676
703,92.0015,90.1862,92.6685,89.7624
704,92.0020,90.1778,92.6713,89.7571
705,92.0024,90.1694,92.6740,89.7518
706,92.0028,90.1610,92.6768,89.7465
707,92.0033,90.1526,92.6795,89.7412
708,92.0037,90.1442,92.6822,89.7359
709,92.0042,90.1358,92.6850,89.7306
710,92.0046,90.1274,92.6873,89.7252
711,92.0050,90.1190,92.6892,89.7198
712,92.0055,90.1107,92.6911,89.7144
713,92.0059,90.1023,92.6931,89.7089
714,92.0073,90.0939,92.6950,89.7035
715,92.0089,90.0855,92.6969,89.6981
716,92.0104,90.0771,92.6989,89.6926
717,92.0120,90.0687,92.7008,89.6872
718,92.0135,90.0603,92.7027,89.6818
719,92.0151,90.0519,92.7047,89.6764
720,92.0166,90.0435,92.7066,89.6709
721,92.0182,90.0351,92.7085,89.6655
722,92.0198,90.0267,92.7105,89.6601
723,92.0213,90.0183,92.7124,89.6546
724,92.0229,90.0099,92.7143,89.6492
725,92.0244,90.0015,92.7163,89.6445
726,92.0260,89.9931,92.7183,89.6406
727,92.0275,89.9847,92.7202,89.6367
728,92.0291,89.9763,92.7222,89.6328
729,92.0307,89.9680,92.7242,89.6288
730,92.0322,89.9596,92.7261,89.6249
731,92.0338,89.9512,92.7281,89.6210
732,92.0353,89.9428,92.7301,89.6171
733,92.0369,89.9353,92.7321,89.6132
734,92.0384,89.9286,92.7340,89.6093
735,92.0400,89.9219,92.7360,89.6054
736,92.0416,89.9152,92.7380,89.6015
737,92.0431,89.9085,92.7400,89.5976
738,92.0447,89.9018,92.7419,89.5937
739,92.0462,89.8951,92.7439,89.5898
740,92.0478,89.8884,92.7460,89.5854
741,92.0493,89.8817,92.7481,89.5807
742,92.0509,89.8750,92.7503,89.5760
743,92.0524,89.8683,92.7524,89.5713
744,92.0540,89.8616,92.7546,89.5666
745,92.0556,89.8549,92.7567,89.5619
746,92.0571,89.8482,92.7589,89.5571
747,92.0587,89.8415,92.7611,89.5524
748,92.0602,89.8347,92.7632,89.5477
749,92.0618,89.8280,92.7654,89.5430
750,92.0633,89.8213,92.7675,89.5383
751,92.0649,89.8146,92.7697,89.5336
752,92.0665,89.8079,92.7718,89.5289
753,92.0680,89.8012,92.7740,89.5242
754,92.0696,89.7945,92.7761,89.5195
755,92.0711,89.7878,92.7782,89.5151
756,92.0727,89.7811,92.7801,89.5110
757,92.0742,89.7744,92.7821,89.5069
758,92.0758,89.7677,92.7840,89.5028
759,92.0774,89.7610,92.7860,89.4987
760,92.0789,89.7543,92.7879,89.4946
761,92.0805,89.7476,92.7899,89.4904
762,92.0820,89.7409,92.7919,89.4863
763,92.0836,89.7342,92.7938,89.4822
764,92.0851,89.7275,92.7958,89.4781
765,92.0867,89.7208,92.7977,89.4740
766,92.0883,89.7141,92.7997,89.4699
767,92.0898,89.7074,92.8017,89.4657
768,92.0914,89.7007,92.8036,89.4616
769,92.0929,89.6940,92.8056,89.4575
770,92.0945,89.6873,92.8075,89.4530
771,92.0960,89.6806,92.8095,89.4483
772,92.0976,89.6738,92.8115,89.4436
773,92.0992,89.6671,92.8134,89.4388
774,92.1007,89.6604,92.8154,89.4341
775,92.1023,89.6537,92.8173,89.4294
776,92.1038,89.6470,92.8193,89.4247
777,92.1054,89.6403,92.8213,89.4200
778,92.1069,89.6336,92.8232,89.4153
779,92.1085,89.6269,92.8252,89.4106
780,92.1100,89.6202,92.8272,89.4059
781,92.1116,89.6135,92.8291,89.4011
782,92.1132,89.6068,92.8311,89.3964
783,92.1147,89.6001,92.8331,89.3917
784,92.1158,89.5934,92.8350,89.3870
785,92.1162,89.5867,92.8370,89.3829
786,92.1167,89.5800,92.8389,89.3790
787,92.1171,89.5733,92.8409,89.3751
788,92.1176,89.5666,92.8429,89.3712
789,92.1180,89.5599,92.8448,89.3673
790,92.1185,89.5532,92.8468,89.3634
791,92.1189,89.5465,92.8487,89.3594
792,92.1194,89.5398,92.8507,89.3555
793,92.1198,89.5344,92.8526,89.3516
794,92.1202,89.5294,92.8546,89.3477
795,92.1207,89.5244,92.8566,89.3438
796,92.1211,89.5194,92.8585,89.3399
797,92.1216,89.5143,92.8605,89.3360
798,92.1220,89.5093,92.8624,89.3320
799,92.1225,89.5043,92.8644,89.3281
800,92.1229,89.4993,92.8665,89.3240
801,92.1233,89.4943,92.8687,89.3199
802,92.1238,89.4893,92.8708,89.3158
803,92.1242,89.4843,92.8730,89.3117
804,92.1247,89.4793,92.8751,89.3076
805,92.1251,89.4743,92.8773,89.3035
806,92.1256,89.4693,92.8794,89.2994
807,92.1260,89.4643,92.8816,89.2953
808,92.1264,89.4593,92.8838,89.2911
809,92.1269,89.4542,92.8859,89.2870
810,92.1273,89.4492,92.8881,89.2829
811,92.1278,89.4442,92.8902,89.2788
812,92.1282,89.4392,92.8924,89.2747
813,92.1287,89.4342,92.8945,89.2706
814,92.1291,89.4292,92.8967,89.2665
815,92.1295,89.4242,92.8986,89.2626
816,92.1300,89.4192,92.9006,89.2587
817,92.1304,89.4142,92.9025,89.2548
818,92.1309,89.4092,92.9044,89.2509
819,92.1313,89.4042,92.9063,89.2470
820,92.1318,89.3992,92.9083,89.2432
821,92.1322,89.3942,92.9102,89.2393
822,92.1326,89.3891,92.9121,89.2354
823,92.1331,89.3841,92.9140,89.2315
824,92.1335,89.3791,92.9160,89.2276
825,92.1340,89.3741,92.9179,89.2238
826,92.1344,89.3691,92.9198,89.2199
827,92.1349,89.3641,92.9217,89.2160
828,92.1353,89.3591,92.9237,89.2121
829,92.1357,89.3541,92.9256,89.2082
830,92.1362,89.3491,92.9270,89.2037
831,92.1366,89.3441,92.9284,89.1990
832,92.1371,89.3391,92.9298,89.1943
833,92.1375,89.3341,92.9312,89.1895
834,92.1380,89.3291,92.9325,89.1848
835,92.1384,89.3240,92.9339,89.1801
836,92.1388,89.3190,92.9353,89.1754
837,92.1393,89.3140,92.9366,89.1707
838,92.1397,89.3090,92.9380,89.1660
839,92.1402,89.3040,92.9394,89.1613
840,92.1406,89.2990,92.9408,89.1566
841,92.1411,89.2940,92.9421,89.1519
842,92.1415,89.2890,92.9435,89.1472
843,92.1420,89.2840,92.9449,89.1425
844,92.1424,89.2790,92.9462,89.1377
845,92.1428,89.2740,92.9481,89.1344
846,92.1433,89.2690,92.9500,89.1312
847,92.1437,89.2639,92.9519,89.1280
848,92.1442,89.2589,92.9538,89.1248
849,92.1446,89.2539,92.9557,89.1215
850,92.1451,89.2489,92.9576,89.1183
851,92.1455,89.2439,92.9595,89.1151
852,92.1459,89.2389,92.9614,89.1119
853,92.1464,89.2324,92.9633,89.1087
854,92.1482,89.2258,92.9652,89.1054
855,92.1504,89.2192,92.9671,89.1022
856,92.1527,89.2125,92.9690,89.0990
857,92.1550,89.2059,92.9709,89.0958
858,92.1573,89.1992,92.9728,89.0926
859,92.1596,89.1926,92.9748,89.0894
860,92.1619,89.1860,92.9767,89.0858
861,92.1641,89.1793,92.9786,89.0817
862,92.1664,89.1727,92.9805,89.0776
863,92.1687,89.1661,92.9825,89.0736
864,92.1710,89.1594,92.9844,89.0695
865,92.1733,89.1528,92.9863,89.0655
866,92.1756,89.1462,92.9883,89.0614
867,92.1778,89.1395,92.9902,89.0573
868,92.1801,89.1329,92.9921,89.0533
869,92.1824,89.1263,92.9941,89.0492
870,92.1847,89.1196,92.9960,89.0451
871,92.1870,89.1130,92.9979,89.0411
872,92.1893,89.1064,92.9999,89.0370
873,92.1915,89.0997,93.0018,89.0330
874,92.1938,89.0931,93.0037,89.0289
875,92.1961,89.0864,93.0057,89.0251
876,92.1984,89.0798,93.0079,89.0218
877,92.2007,89.0732,93.0101,89.0184
878,92.2030,89.0665,93.0122,89.0151
879,92.2052,89.0599,93.0144,89.0117
880,92.2075,89.0533,93.0165,89.0084
881,92.2098,89.0466,93.0187,89.0051
882,92.2121,89.0400,93.0209,89.0017
883,92.2144,89.0334,93.0230,88.9984
884,92.2167,89.0267,93.0252,88.9951
885,92.2189,89.0201,93.0274,88.9917
886,92.2212,89.0135,93.0295,88.9884
887,92.2235,89.0068,93.0317,88.9851
888,92.2258,89.0002,93.0338,88.9817
889,92.2281,88.9936,93.0360,88.9784
890,92.2304,88.9869,93.0378,88.9741
891,92.2326,88.9803,93.0392,88.9687
892,92.2349,88.9737,93.0406,88.9632
893,92.2372,88.9670,93.0420,88.9577
894,92.2395,88.9604,93.0433,88.9522
895,92.2418,88.9537,93.0447,88.9467
896,92.2441,88.9471,93.0461,88.9412
897,92.2463,88.9405,93.0474,88.9357
898,92.2486,88.9338,93.0488,88.9302
899,92.2509,88.9272,93.0502,88.9247
900,92.2532,88.9206,93.0515,88.9193
901,92.2555,88.9139,93.0529,88.9138
902,92.2578,88.9073,93.0543,88.9083
903,92.2600,88.9007,93.0557,88.9028
904,92.2623,88.8940,93.0570,88.8973
905,92.2646,88.8874,93.0587,88.8926
906,92.2669,88.8808,93.0606,88.8887
907,92.2692,88.8741,93.0626,88.8848
908,92.2715,88.8675,93.0646,88.8809
909,92.2737,88.8609,93.0665,88.8769
910,92.2760,88.8542,93.0685,88.8730
911,92.2783,88.8476,93.0704,88.8691
912,92.2806,88.8409,93.0724,88.8652
913,92.2829,88.8351,93.0743,88.8613
914,92.2852,88.8301,93.0763,88.8574
915,92.2874,88.8250,93.0783,88.8535
916,92.2897,88.8200,93.0802,88.8495
917,92.2920,88.8149,93.0822,88.8456
918,92.2943,88.8099,93.0841,88.8417
919,92.2966,88.8048,93.0861,88.8378
920,92.2989,88.7998,93.0880,88.8342
921,92.3011,88.7948,93.0900,88.8309
922,92.3034,88.7897,93.0920,88.8275
923,92.3057,88.7847,93.0939,88.8242
924,92.3071,88.7796,93.0959,88.8208
925,92.3084,88.7746,93.0978,88.8175
926,92.3097,88.7696,93.0998,88.8141
927,92.3110,88.7645,93.1018,88.8108
928,92.3123,88.7595,93.1037,88.8074
929,92.3136,88.7544,93.1057,88.8041
930,92.3149,88.7494,93.1076,88.8008
931,92.3162,88.7443,93.1096,88.7974
932,92.3175,88.7393,93.1115,88.7941
933,92.3188,88.7343,93.1135,88.7907
934,92.3201,88.7292,93.1155,88.7874
935,92.3214,88.7242,93.1170,88.7840
936,92.3227,88.7191,93.1184,88.7807
937,92.3240,88.7141,93.1198,88.7774
938,92.3253,88.7091,93.1211,88.7741
939,92.3266,88.7040,93.1225,88.7707
940,92.3279,88.6990,93.1239,88.7674
941,92.3292,88.6939,93.1252,88.7641
942,92.3305,88.6889,93.1266,88.7608
943,92.3318,88.6838,93.1280,88.7574
944,92.3331,88.6788,93.1294,88.7541
945,92.3344,88.6738,93.1307,88.7508
946,92.3357,88.6687,93.1321,88.7475
947,92.3370,88.6637,93.1335,88.7441
948,92.3383,88.6586,93.1348,88.7408
949,92.3396,88.6536,93.1362,88.7375
950,92.3409,88.6486,93.1380,88.7316
951,92.3422,88.6435,93.1400,88.7247
952,92.3435,88.6385,93.1419,88.7178
953,92.3448,88.6334,93.1439,88.7110
954,92.3461,88.6284,93.1459,88.7041
955,92.3474,88.6233,93.1478,88.6972
956,92.3487,88.6183,93.1498,88.6903
957,92.3500,88.6133,93.1518,88.6835
958,92.3513,88.6082,93.1537,88.6766
959,92.3526,88.6032,93.1557,88.6697
960,92.3539,88.5981,93.1577,88.6629
961,92.3552,88.5931,93.1596,88.6560
962,92.3565,88.5881,93.1616,88.6491
963,92.3578,88.5830,93.1636,88.6422
964,92.3591,88.5780,93.1655,88.6354
965,92.3604,88.5729,93.1670,88.6303
966,92.3617,88.5679,93.1683,88.6257
967,92.3630,88.5628,93.1697,88.6210
968,92.3643,88.5578,93.1711,88.6164
969,92.3656,88.5528,93.1724,88.6118
970,92.3669,88.5477,93.1738,88.6071
971,92.3682,88.5427,93.1751,88.6025
972,92.3695,88.5376,93.1765,88.5978
973,92.3708,88.5326,93.1778,88.5932
974,92.3721,88.5276,93.1792,88.5886
975,92.3734,88.5226,93.1805,88.5839
976,92.3747,88.5176,93.1819,88.5793
977,92.3760,88.5126,93.1832,88.5746
978,92.3773,88.5075,93.1846,88.5700
979,92.3786,88.5025,93.1859,88.5654
980,92.3799,88.4975,93.1877,88.5612
981,92.3812,88.4925,93.1897,88.5573
982,92.3825,88.4875,93.1917,88.5534
983,92.3838,88.4825,93.1936,88.5494
984,92.3851,88.4774,93.1956,88.5455
985,92.3864,88.4724,93.1976,88.5416
986,92.3877,88.4674,93.1995,88.5376
987,92.3890,88.4624,93.2015,88.5337
988,92.3903,88.4574,93.2034,88.5298
989,92.3916,88.4524,93.2054,88.5259
990,92.3929,88.4473,93.2074,88.5219
991,92.3942,88.4423,93.2093,88.5180
992,92.3955,88.4373,93.2113,88.5141
993,92.3968,88.4323,93.2133,88.5101
994,92.3980,88.4273,93.2152,88.5062
995,92.3993,88.4223,93.2167,88.5027
996,92.4006,88.4172,93.2181,88.4994
997,92.4018,88.4122,93.2195,88.4961
998,92.4031,88.4072,93.2209,88.4928
999,92.4044,88.4022,93.2223,88.4894
1000,92.4056,88.3972,93.2236,88.4861
1001,92.4069,88.3922,93.2250,88.4828
1002,92.4082,88.3871,93.2264,88.4794
1003,92.4095,88.3821,93.2278,88.4761
1004,92.4107,88.3771,93.2291,88.4728
1005,92.4120,88.3721,93.2305,88.4695
1006,92.4133,88.3671,93.2319,88.4661
1007,92.4145,88.3621,93.2333,88.4628
1008,92.4158,88.3570,93.2347,88.4595
1009,92.4171,88.3520,93.2360,88.4562
1010,92.4183,88.3470,93.2374,88.4538
1011,92.4196,88.3420,93.2388,88.4517
1012,92.4209,88.3370,93.2402,88.4495
1013,92.4221,88.3320,93.2416,88.4474
1014,92.4234,88.3269,93.2429,88.4452
1015,92.4247,88.3219,93.2443,88.4431
1016,92.4259,88.3169,93.2457,88.4409
1017,92.4272,88.3119,93.2471,88.4388
1018,92.4285,88.3069,93.2484,88.4366
1019,92.4298,88.3019,93.2498,88.4345
1020,92.4310,88.2968,93.2512,88.4323
1021,92.4323,88.2918,93.2526,88.4301
1022,92.4336,88.2868,93.2540,88.4280
1023,92.4348,88.2818,93.2553,88.4258
1024,92.4361,88.2768,93.2567,88.4237
1025,92.4374,88.2718,93.2586,88.4212
1026,92.4386,88.2667,93.2606,88.4186
1027,92.4399,88.2617,93.2625,88.4161
1028,92.4412,88.2567,93.2645,88.4135
1029,92.4424,88.2517,93.2665,88.4110
1030,92.4437,88.2467,93.2684,88.4084
1031,92.4450,88.2417,93.2704,88.4059
1032,92.4462,88.2367,93.2723,88.4033
1033,92.4475,88.2332,93.2743,88.4008
1034,92.4488,88.2298,93.2763,88.3983
1035,92.4500,88.2264,93.2782,88.3957
1036,92.4513,88.2231,93.2802,88.3932
1037,92.4526,88.2197,93.2821,88.3906
1038,92.4539,88.2163,93.2841,88.3881
1039,92.4551,88.2129,93.2860,88.3855
1040,92.4564,88.2096,93.2874,88.3834
1041,92.4577,88.2062,93.2888,88.3812
1042,92.4589,88.2028,93.2901,88.3791
1043,92.4602,88.1995,93.2915,88.3769
1044,92.4615,88.1961,93.2928,88.3748
1045,92.4627,88.1927,93.2942,88.3726
1046,92.4640,88.1893,93.2956,88.3705
1047,92.4653,88.1860,93.2969,88.3683
1048,92.4665,88.1826,93.2983,88.3661
1049,92.4678,88.1792,93.2997,88.3640
1050,92.4691,88.1759,93.3010,88.3618
1051,92.4703,88.1725,93.3024,88.3597
1052,92.4716,88.1691,93.3038,88.3575
1053,92.4729,88.1657,93.3051,88.3554
1054,92.4742,88.1624,93.3065,88.3532
1055,92.4754,88.1590,93.3079,88.3506
1056,92.4767,88.1556,93.3092,88.3481
1057,92.4780,88.1523,93.3106,88.3455
1058,92.4792,88.1489,93.3120,88.3430
1059,92.4805,88.1455,93.3133,88.3404
1060,92.4818,88.1421,93.3147,88.3379
1061,92.4830,88.1388,93.3161,88.3353
1062,92.4843,88.1354,93.3174,88.3328
1063,92.4856,88.1320,93.3188,88.3302
1064,92.4859,88.1286,93.3202,88.3277
1065,92.4861,88.1253,93.3216,88.3251
1066,92.4862,88.1219,93.3229,88.3226
1067,92.4864,88.1185,93.3243,88.3200
1068,92.4865,88.1152,93.3257,88.3175
1069,92.4867,88.1118,93.3271,88.3154
1070,92.4868,88.1084,93.3291,88.3154
1071,92.4869,88.1050,93.3310,88.3154
1072,92.4871,88.1017,93.3330,88.3154
1073,92.4872,88.0983,93.3349,88.3154
1074,92.4874,88.0949,93.3368,88.3154
1075,92.4875,88.0916,93.3388,88.3154
1076,92.4877,88.0882,93.3407,88.3154
1077,92.4878,88.0848,93.3427,88.3154
1078,92.4880,88.0814,93.3446,88.3154
1079,92.4881,88.0781,93.3465,88.3154
1080,92.4883,88.0747,93.3485,88.3154
1081,92.4884,88.0713,93.3504,88.3154
1082,92.4886,88.0680,93.3524,88.3154
1083,92.4887,88.0646,93.3543,88.3154
1084,92.4889,88.0612,93.3562,88.3152
1085,92.4890,88.0578,93.3575,88.3125
1086,92.4892,88.0545,93.3588,88.3099
1087,92.4893,88.0511,93.3602,88.3072
1088,92.4894,88.0477,93.3615,88.3046
1089,92.4896,88.0444,93.3628,88.3019
1090,92.4897,88.0410,93.3641,88.2993
1091,92.4899,88.0376,93.3655,88.2966
1092,92.4900,88.0341,93.3668,88.2940
1093,92.4902,88.0292,93.3681,88.2913
1094,92.4903,88.0242,93.3694,88.2887
1095,92.4905,88.0192,93.3707,88.2860
1096,92.4906,88.0143,93.3721,88.2834
1097,92.4908,88.0093,93.3734,88.2807
1098,92.4909,88.0043,93.3747,88.2781
1099,92.4911,87.9994,93.3760,88.2754
1100,92.4912,87.9944,93.3774,88.2732
1101,92.4914,87.9895,93.3788,88.2712
1102,92.4915,87.9845,93.3801,88.2692
1103,92.4917,87.9795,93.3815,88.2672
1104,92.4918,87.9746,93.3829,88.2653
1105,92.4919,87.9696,93.3842,88.2633
1106,92.4921,87.9646,93.3856,88.2613
1107,92.4922,87.9597,93.3870,88.2593
1108,92.4924,87.9547,93.3884,88.2574
1109,92.4925,87.9497,93.3897,88.2554
1110,92.4927,87.9448,93.3911,88.2534
1111,92.4928,87.9398,93.3925,88.2514
1112,92.4930,87.9348,93.3938,88.2495
1113,92.4931,87.9299,93.3952,88.2475
1114,92.4933,87.9249,93.3966,88.2455
1115,92.4934,87.9200,93.3980,88.2431
1116,92.4936,87.9150,93.3993,88.2404
1117,92.4937,87.9100,93.4007,88.2377
1118,92.4939,87.9051,93.4020,88.2350
1119,92.4940,87.9001,93.4034,88.2323
1120,92.4942,87.8951,93.4048,88.2296
1121,92.4943,87.8902,93.4061,88.2269
1122,92.4944,87.8852,93.4075,88.2242
1123,92.4946,87.8802,93.4088,88.2215
1124,92.4947,87.8753,93.4102,88.2188
1125,92.4949,87.8703,93.4116,88.2161
1126,92.4950,87.8653,93.4129,88.2134
1127,92.4952,87.8604,93.4143,88.2107
1128,92.4953,87.8554,93.4156,88.2080
1129,92.4955,87.8505,93.4170,88.2053
1130,92.4956,87.8455,93.4184,88.2025
1131,92.4958,87.8405,93.4197,88.1998
1132,92.4959,87.8356,93.4211,88.1971
1133,92.4961,87.8306,93.4225,88.1943
1134,92.4984,87.8256,93.4238,88.1916
1135,92.5008,87.8207,93.4252,88.1888
1136,92.5031,87.8157,93.4265,88.1861
1137,92.5054,87.8107,93.4279,88.1833
1138,92.5077,87.8058,93.4293,88.1806
1139,92.5100,87.8008,93.4306,88.1779
1140,92.5123,87.7958,93.4320,88.1751
1141,92.5146,87.7909,93.4334,88.1724
1142,92.5169,87.7859,93.4347,88.1696
1143,92.5192,87.7810,93.4361,88.1669
1144,92.5215,87.7760,93.4375,88.1642
1145,92.5238,87.7710,93.4388,88.1610
1146,92.5261,87.7661,93.4402,88.1577
1147,92.5284,87.7611,93.4416,88.1543
1148,92.5307,87.7561,93.4429,88.1510
1149,92.5330,87.7512,93.4443,88.1476
1150,92.5353,87.7462,93.4457,88.1443
1151,92.5376,87.7412,93.4471,88.1409
1152,92.5399,87.7363,93.4484,88.1376
1153,92.5422,87.7324,93.4498,88.1343
1154,92.5445,87.7290,93.4512,88.1309
1155,92.5468,87.7256,93.4525,88.1276
1156,92.5491,87.7223,93.4539,88.1242
1157,92.5515,87.7189,93.4553,88.1209
1158,92.5538,87.7156,93.4567,88.1175
1159,92.5561,87.7122,93.4580,88.1142
1160,92.5584,87.7089,93.4593,88.1104
1161,92.5607,87.7055,93.4604,88.1065
1162,92.5630,87.7022,93.4616,88.1026
1163,92.5653,87.6988,93.4628,88.0987
1164,92.5676,87.6954,93.4640,88.0948
1165,92.5699,87.6921,93.4652,88.0909
1166,92.5722,87.6887,93.4664,88.0870
1167,92.5745,87.6854,93.4676,88.0830
1168,92.5768,87.6820,93.4688,88.0791
1169,92.5791,87.6787,93.4699,88.0752
1170,92.5814,87.6753,93.4711,88.0713
1171,92.5837,87.6719,93.4723,88.0674
1172,92.5860,87.6686,93.4735,88.0635
1173,92.5883,87.6652,93.4747,88.0596
1174,92.5906,87.6619,93.4759,88.0557
1175,92.5929,87.6585,93.4772,88.0532
1176,92.5952,87.6552,93.4786,88.0510
1177,92.5975,87.6518,93.4800,88.0488
1178,92.5999,87.6484,93.4813,88.0467
1179,92.6022,87.6451,93.4827,88.0445
1180,92.6045,87.6417,93.4841,88.0424
1181,92.6068,87.6384,93.4854,88.0402
1182,92.6091,87.6350,93.4868,88.0380
1183,92.6114,87.6317,93.4882,88.0359
1184,92.6137,87.6283,93.4896,88.0337
1185,92.6160,87.6249,93.4909,88.0315
1186,92.6183,87.6216,93.4923,88.0294
1187,92.6206,87.6182,93.4937,88.0272
1188,92.6229,87.6149,93.4950,88.0250
1189,92.6252,87.6115,93.4964,88.0229
1190,92.6275,87.6082,93.4978,88.0204
1191,92.6298,87.6048,93.4992,88.0178
1192,92.6321,87.6015,93.5005,88.0153
1193,92.6344,87.5981,93.5019,88.0127
1194,92.6367,87.5947,93.5033,88.0102
1195,92.6390,87.5914,93.5046,88.0077
1196,92.6413,87.5880,93.5060,88.0051
1197,92.6436,87.5847,93.5074,88.0026
1198,92.6459,87.5813,93.5088,88.0000
1199,92.6483,87.5780,93.5101,87.9975
1200,92.6506,87.5746,93.5115,87.9949
1201,92.6529,87.5712,93.5129,87.9924
1202,92.6552,87.5679,93.5142,87.9898
1203,92.6573,87.5645,93.5156,87.9873
1204,92.6590,87.5612,93.5170,87.9848
1205,92.6607,87.5578,93.5184,87.9813
1206,92.6624,87.5545,93.5197,87.9777
1207,92.6641,87.5511,93.5211,87.9742
1208,92.6658,87.5477,93.5225,87.9707
1209,92.6676,87.5444,93.5238,87.9672
1210,92.6693,87.5410,93.5252,87.9636
