# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 8
# LOX T vs time, P=3 bar, T_He=288 K.
# r=0.81 and 1.21 min^-1 at T0=91 K (subcooled, warming);
# r=1.34 min^-1 at T0=102 K (saturated, cooling).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,r0.81_measured,r1.21_measured,r1.34_measured,r0.81_calculated,r1.21_calculated,r1.34_calculated
81,91.4425,91.0017,99.3157,91.6602,91.6075,100.7352
82,91.4444,91.0039,99.2957,91.6630,91.6086,100.7221
83,91.4463,91.0061,99.2757,91.6657,91.6097,100.7089
84,91.4482,91.0082,99.2557,91.6685,91.6108,100.6958
85,91.4501,91.0104,99.2357,91.6706,91.6119,100.6778
86,91.4520,91.0126,99.2157,91.6723,91.6129,100.6575
87,91.4538,91.0147,99.1957,91.6740,91.6140,100.6372
88,91.4557,91.0169,99.1757,91.6757,91.6151,100.6170
89,91.4576,91.0191,99.1557,91.6774,91.6162,100.5967
90,91.4595,91.0212,99.1358,91.6791,91.6173,100.5764
91,91.4614,91.0234,99.1158,91.6808,91.6183,100.5561
92,91.4633,91.0256,99.0958,91.6825,91.6194,100.5359
93,91.4652,91.0277,99.0758,91.6842,91.6205,100.5156
94,91.4671,91.0299,99.0558,91.6859,91.6216,100.4953
95,91.4690,91.0321,99.0358,91.6876,91.6227,100.4750
96,91.4709,91.0342,99.0158,91.6893,91.6237,100.4548
97,91.4728,91.0364,98.9958,91.6910,91.6248,100.4345
98,91.4747,91.0386,98.9758,91.6927,91.6259,100.4142
99,91.4766,91.0407,98.9558,91.6944,91.6270,100.3939
100,91.4785,91.0429,98.9358,91.6960,91.6284,100.3740
101,91.4804,91.0451,98.9158,91.6976,91.6301,100.3544
102,91.4823,91.0472,98.8958,91.6991,91.6318,100.3348
103,91.4842,91.0494,98.8758,91.7007,91.6336,100.3151
104,91.4861,91.0516,98.8558,91.7022,91.6353,100.2955
105,91.4880,91.0537,98.8358,91.7038,91.6370,100.2758
106,91.4898,91.0559,98.8158,91.7053,91.6387,100.2562
107,91.4917,91.0581,98.7958,91.7069,91.6404,100.2366
108,91.4936,91.0602,98.7758,91.7084,91.6421,100.2169
109,91.4955,91.0624,98.7558,91.7099,91.6438,100.1973
110,91.4974,91.0646,98.7358,91.7115,91.6455,100.1777
111,91.4993,91.0667,98.7158,91.7130,91.6472,100.1580
112,91.5012,91.0689,98.6958,91.7146,91.6489,100.1384
113,91.5031,91.0711,98.6758,91.7161,91.6506,100.1187
114,91.5050,91.0732,98.6558,91.7177,91.6523,100.0991
115,91.5069,91.0754,98.6358,91.7195,91.6540,100.0816
116,91.5088,91.0776,98.6158,91.7217,91.6557,100.0663
117,91.5107,91.0798,98.5958,91.7239,91.6574,100.0510
118,91.5126,91.0819,98.5758,91.7261,91.6591,100.0356
119,91.5145,91.0841,98.5558,91.7283,91.6609,100.0203
120,91.5164,91.0863,98.5358,91.7305,91.6626,100.0050
121,91.5183,91.0884,98.5158,91.7327,91.6643,99.9896
122,91.5202,91.0906,98.4958,91.7348,91.6660,99.9743
123,91.5221,91.0928,98.4772,91.7370,91.6677,99.9590
124,91.5240,91.0938,98.4656,91.7392,91.6695,99.9436
125,91.5259,91.0948,98.4540,91.7414,91.6712,99.9283
126,91.5278,91.0958,98.4424,91.7436,91.6729,99.9130
127,91.5297,91.0968,98.4308,91.7458,91.6746,99.8976
128,91.5316,91.0977,98.4192,91.7480,91.6763,99.8823
129,91.5335,91.0987,98.4076,91.7502,91.6780,99.8669
130,91.5354,91.0997,98.3960,91.7523,91.6794,99.8506
131,91.5373,91.1006,98.3844,91.7545,91.6805,99.8336
132,91.5392,91.1016,98.3728,91.7567,91.6816,99.8166
133,91.5411,91.1026,98.3612,91.7589,91.6826,99.7995
134,91.5430,91.1035,98.3496,91.7610,91.6837,99.7825
135,91.5449,91.1045,98.3380,91.7632,91.6848,99.7655
136,91.5468,91.1055,98.3264,91.7654,91.6859,99.7485
137,91.5487,91.1064,98.3148,91.7675,91.6870,99.7315
138,91.5506,91.1074,98.3032,91.7697,91.6881,99.7144
139,91.5525,91.1084,98.2916,91.7719,91.6892,99.6974
140,91.5544,91.1093,98.2800,91.7741,91.6902,99.6804
141,91.5563,91.1103,98.2684,91.7762,91.6913,99.6634
142,91.5582,91.1113,98.2568,91.7784,91.6924,99.6464
143,91.5601,91.1122,98.2452,91.7806,91.6935,99.6293
144,91.5620,91.1132,98.2336,91.7828,91.6946,99.6123
145,91.5639,91.1142,98.2220,91.7845,91.6957,99.5956
146,91.5658,91.1152,98.2104,91.7857,91.6968,99.5792
147,91.5677,91.1161,98.1988,91.7869,91.6978,99.5628
148,91.5696,91.1171,98.1872,91.7882,91.6989,99.5464
149,91.5715,91.1181,98.1756,91.7894,91.7000,99.5300
150,91.5734,91.1190,98.1640,91.7906,91.7011,99.5136
151,91.5753,91.1200,98.1524,91.7919,91.7022,99.4972
152,91.5772,91.1210,98.1408,91.7931,91.7032,99.4808
153,91.5791,91.1219,98.1292,91.7943,91.7043,99.4644
154,91.5810,91.1229,98.1176,91.7956,91.7054,99.4480
155,91.5829,91.1239,98.1060,91.7968,91.7065,99.4316
156,91.5848,91.1248,98.0944,91.7980,91.7076,99.4152
157,91.5867,91.1258,98.0828,91.7993,91.7087,99.3988
158,91.5886,91.1268,98.0712,91.8005,91.7097,99.3824
159,91.5905,91.1277,98.0596,91.8017,91.7108,99.3660
160,91.5924,91.1287,98.0480,91.8034,91.7121,99.3503
161,91.5942,91.1297,98.0364,91.8055,91.7136,99.3356
162,91.5961,91.1306,98.0248,91.8077,91.7152,99.3209
163,91.5980,91.1316,98.0132,91.8098,91.7167,99.3062
164,91.5999,91.1326,98.0016,91.8120,91.7183,99.2916
165,91.6018,91.1336,97.9900,91.8142,91.7198,99.2769
166,91.6037,91.1345,97.9784,91.8163,91.7214,99.2622
167,91.6056,91.1355,97.9668,91.8185,91.7229,99.2475
168,91.6075,91.1365,97.9552,91.8206,91.7244,99.2328
169,91.6094,91.1374,97.9436,91.8228,91.7260,99.2182
170,91.6113,91.1384,97.9320,91.8250,91.7275,99.2035
171,91.6132,91.1394,97.9204,91.8271,91.7291,99.1888
172,91.6151,91.1403,97.9088,91.8293,91.7306,99.1741
173,91.6170,91.1413,97.8972,91.8314,91.7322,99.1594
174,91.6189,91.1423,97.8856,91.8336,91.7337,99.1448
175,91.6208,91.1432,97.8740,91.8356,91.7351,99.1300
176,91.6227,91.1442,97.8624,91.8371,91.7362,99.1152
177,91.6246,91.1452,97.8508,91.8387,91.7373,99.1003
178,91.6265,91.1461,97.8392,91.8402,91.7383,99.0854
179,91.6284,91.1471,97.8276,91.8418,91.7394,99.0706
180,91.6303,91.1481,97.8160,91.8433,91.7405,99.0557
181,91.6322,91.1490,97.8044,91.8449,91.7416,99.0408
182,91.6341,91.1500,97.7928,91.8464,91.7427,99.0260
183,91.6360,91.1510,97.7812,91.8480,91.7437,99.0111
