# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 8
# LOX T vs time, P=3 bar, T_He=288 K.
# r=0.81 and 1.21 min^-1 at T0=91 K (subcooled, warming);
# r=1.34 min^-1 at T0=102 K (saturated, cooling).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,r0.81_measured,r1.21_measured,r1.34_measured,r0.81_calculated,r1.21_calculated,r1.34_calculated
389,92.0208,91.5181,96.4006,92.2192,92.0045,96.9442
390,92.0239,91.5196,96.4028,92.2209,92.0062,96.9377
391,92.0271,91.5212,96.4050,92.2226,92.0079,96.9312
392,92.0302,91.5227,96.4072,92.2243,92.0096,96.9247
393,92.0333,91.5242,96.4094,92.2260,92.0113,96.9182
394,92.0365,91.5257,96.4116,92.2276,92.0129,96.9117
395,92.0396,91.5272,96.4138,92.2293,92.0146,96.9052
396,92.0428,91.5287,96.4160,92.2310,92.0163,96.8987
397,92.0459,91.5302,96.4183,92.2327,92.0180,96.8922
398,92.0490,91.5317,96.4205,92.2344,92.0197,96.8857
399,92.0522,91.5332,96.4227,92.2361,92.0214,96.8792
400,92.0553,91.5348,96.4249,92.2378,92.0231,96.8726
401,92.0584,91.5363,96.4271,92.2397,92.0246,96.8661
402,92.0616,91.5378,96.4293,92.2419,92.0257,96.8595
403,92.0647,91.5393,96.4315,92.2441,92.0268,96.8530
404,92.0678,91.5408,96.4337,92.2463,92.0279,96.8464
405,92.0710,91.5423,96.4359,92.2485,92.0290,96.8398
406,92.0741,91.5438,96.4381,92.2507,92.0301,96.8333
407,92.0773,91.5453,96.4404,92.2529,92.0312,96.8267
408,92.0804,91.5468,96.4426,92.2551,92.0323,96.8201
409,92.0835,91.5483,96.4448,92.2573,92.0334,96.8136
410,92.0867,91.5499,96.4470,92.2595,92.0345,96.8070
411,92.0898,91.5514,96.4492,92.2617,92.0356,96.8004
412,92.0929,91.5529,96.4514,92.2639,92.0367,96.7939
413,92.0961,91.5544,96.4536,92.2661,92.0378,96.7873
414,92.0992,91.5559,96.4558,92.2683,92.0389,96.7807
415,92.1024,91.5574,96.4580,92.2704,92.0400,96.7742
416,92.1055,91.5589,96.4603,92.2726,92.0414,96.7675
417,92.1086,91.5604,96.4625,92.2748,92.0431,96.7609
418,92.1118,91.5619,96.4647,92.2769,92.0448,96.7542
419,92.1149,91.5634,96.4669,92.2791,92.0465,96.7476
420,92.1180,91.5650,96.4691,92.2813,92.0482,96.7409
421,92.1212,91.5665,96.4713,92.2834,92.0499,96.7343
422,92.1243,91.5680,96.4735,92.2856,92.0516,96.7276
423,92.1274,91.5695,96.4757,92.2877,92.0533,96.7210
424,92.1306,91.5710,96.4779,92.2899,92.0550,96.7143
425,92.1313,91.5722,96.4679,92.2921,92.0567,96.7077
426,92.1310,91.5733,96.4577,92.2942,92.0584,96.7010
427,92.1307,91.5744,96.4474,92.2964,92.0600,96.6944
428,92.1305,91.5755,96.4372,92.2986,92.0617,96.6877
429,92.1302,91.5765,96.4269,92.3007,92.0634,96.6810
430,92.1299,91.5776,96.4167,92.3029,92.0651,96.6744
431,92.1297,91.5787,96.4064,92.3048,92.0666,96.6682
432,92.1294,91.5798,96.3962,92.3066,92.0677,96.6628
433,92.1291,91.5809,96.3860,92.3083,92.0688,96.6574
434,92.1288,91.5820,96.3757,92.3100,92.0698,96.6520
435,92.1286,91.5831,96.3655,92.3117,92.0709,96.6466
436,92.1283,91.5841,96.3552,92.3134,92.0720,96.6412
437,92.1280,91.5852,96.3450,92.3151,92.0731,96.6358
438,92.1278,91.5863,96.3347,92.3168,92.0742,96.6303
439,92.1275,91.5874,96.3245,92.3185,92.0753,96.6249
440,92.1272,91.5885,96.3142,92.3202,92.0764,96.6195
441,92.1269,91.5896,96.3040,92.3219,92.0775,96.6141
442,92.1267,91.5906,96.2937,92.3236,92.0785,96.6087
443,92.1264,91.5917,96.2835,92.3253,92.0796,96.6033
444,92.1261,91.5928,96.2732,92.3270,92.0807,96.5979
445,92.1259,91.5939,96.2630,92.3287,92.0818,96.5924
446,92.1256,91.5950,96.2527,92.3305,92.0829,96.5872
447,92.1253,91.5961,96.2425,92.3327,92.0840,96.5822
448,92.1250,91.5972,96.2322,92.3349,92.0850,96.5773
449,92.1248,91.5982,96.2220,92.3370,92.0861,96.5723
450,92.1245,91.5993,96.2117,92.3392,92.0872,96.5674
451,92.1242,91.6004,96.2015,92.3414,92.0883,96.5624
452,92.1240,91.6015,96.1912,92.3436,92.0894,96.5575
453,92.1237,91.6026,96.1810,92.3457,92.0905,96.5525
454,92.1234,91.6037,96.1707,92.3479,92.0915,96.5476
455,92.1231,91.6047,96.1605,92.3501,92.0926,96.5427
456,92.1229,91.6058,96.1502,92.3522,92.0937,96.5377
457,92.1226,91.6069,96.1400,92.3544,92.0948,96.5328
458,92.1223,91.6080,96.1298,92.3566,92.0959,96.5278
459,92.1221,91.6091,96.1195,92.3587,92.0969,96.5229
460,92.1218,91.6102,96.1093,92.3609,92.0980,96.5179
461,92.1215,91.6112,96.0990,92.3628,92.0992,96.5129
462,92.1212,91.6123,96.0888,92.3639,92.1008,96.5074
463,92.1210,91.6134,96.0785,92.3650,92.1023,96.5020
464,92.1207,91.6145,96.0683,92.3660,92.1039,96.4966
465,92.1204,91.6156,96.0580,92.3671,92.1054,96.4912
466,92.1202,91.6167,96.0478,92.3682,92.1070,96.4858
467,92.1199,91.6178,96.0375,92.3693,92.1085,96.4804
468,92.1196,91.6188,96.0273,92.3704,92.1101,96.4749
469,92.1193,91.6199,96.0170,92.3714,92.1116,96.4695
470,92.1191,91.6210,96.0068,92.3725,92.1132,96.4641
471,92.1188,91.6221,95.9965,92.3736,92.1147,96.4587
472,92.1185,91.6232,95.9863,92.3747,92.1163,96.4533
473,92.1183,91.6243,95.9760,92.3758,92.1178,96.4479
474,92.1180,91.6253,95.9658,92.3769,92.1194,96.4424
475,92.1177,91.6264,95.9555,92.3779,92.1209,96.4370
476,92.1174,91.6275,95.9453,92.3791,92.1224,96.4317
477,92.1172,91.6286,95.9350,92.3806,92.1235,96.4267
478,92.1169,91.6297,95.9248,92.3822,92.1246,96.4218
479,92.1166,91.6308,95.9145,92.3837,92.1256,96.4168
480,92.1164,91.6319,95.9043,92.3853,92.1267,96.4119
481,92.1161,91.6329,95.8940,92.3868,92.1278,96.4070
482,92.1158,91.6340,95.8838,92.3884,92.1288,96.4020
483,92.1156,91.6351,95.8736,92.3899,92.1299,96.3971
484,92.1153,91.6362,95.8633,92.3914,92.1310,96.3921
485,92.1159,91.6377,95.8574,92.3930,92.1321,96.3872
486,92.1176,91.6398,95.8540,92.3945,92.1331,96.3822
487,92.1192,91.6418,95.8506,92.3961,92.1342,96.3773
488,92.1209,91.6439,95.8471,92.3976,92.1353,96.3723
489,92.1226,91.6460,95.8437,92.3992,92.1364,96.3674
490,92.1242,91.6480,95.8403,92.4007,92.1374,96.3625
491,92.1259,91.6501,95.8368,92.4023,92.1386,96.3575
492,92.1276,91.6521,95.8334,92.4040,92.1403,96.3526
493,92.1292,91.6542,95.8300,92.4057,92.1420,96.3476
494,92.1309,91.6562,95.8265,92.4074,92.1437,96.3427
495,92.1326,91.6583,95.8231,92.4091,92.1454,96.3377
496,92.1342,91.6603,95.8197,92.4108,92.1471,96.3328
497,92.1359,91.6624,95.8162,92.4125,92.1488,96.3278
498,92.1376,91.6645,95.8128,92.4142,92.1505,96.3229
499,92.1393,91.6665,95.8094,92.4159,92.1522,96.3179
500,92.1409,91.6686,95.8059,92.4176,92.1539,96.3130
501,92.1426,91.6706,95.8025,92.4193,92.1557,96.3080
502,92.1443,91.6727,95.7991,92.4210,92.1574,96.3031
503,92.1459,91.6747,95.7956,92.4227,92.1591,96.2981
504,92.1476,91.6768,95.7922,92.4244,92.1608,96.2931
505,92.1493,91.6788,95.7888,92.4261,92.1625,96.2882
506,92.1509,91.6809,95.7853,92.4278,92.1642,96.2832
507,92.1526,91.6830,95.7819,92.4300,92.1653,96.2789
508,92.1543,91.6850,95.7785,92.4322,92.1664,96.2745
509,92.1559,91.6871,95.7750,92.4344,92.1675,96.2701
510,92.1576,91.6891,95.7716,92.4366,92.1686,96.2657
511,92.1593,91.6912,95.7682,92.4387,92.1697,96.2613
512,92.1609,91.6932,95.7647,92.4409,92.1707,96.2569
513,92.1626,91.6953,95.7613,92.4431,92.1718,96.2525
514,92.1643,91.6974,95.7579,92.4453,92.1729,96.2481
515,92.1659,91.6994,95.7544,92.4475,92.1740,96.2438
516,92.1676,91.7015,95.7510,92.4497,92.1751,96.2394
517,92.1693,91.7035,95.7476,92.4519,92.1762,96.2350
518,92.1709,91.7056,95.7441,92.4541,92.1773,96.2306
519,92.1726,91.7076,95.7407,92.4562,92.1784,96.2262
520,92.1743,91.7097,95.7373,92.4584,92.1794,96.2218
521,92.1759,91.7117,95.7338,92.4606,92.1806,96.2174
522,92.1776,91.7138,95.7304,92.4628,92.1823,96.2131
523,92.1793,91.7159,95.7270,92.4650,92.1840,96.2088
524,92.1809,91.7179,95.7235,92.4671,92.1857,96.2044
525,92.1826,91.7200,95.7201,92.4693,92.1874,96.2001
526,92.1843,91.7220,95.7167,92.4715,92.1891,96.1958
527,92.1859,91.7241,95.7132,92.4737,92.1908,96.1914
528,92.1876,91.7261,95.7098,92.4758,92.1925,96.1871
529,92.1893,91.7282,95.7064,92.4780,92.1943,96.1828
530,92.1910,91.7302,95.7029,92.4802,92.1960,96.1784
531,92.1926,91.7323,95.6995,92.4824,92.1977,96.1741
532,92.1943,91.7344,95.6961,92.4845,92.1994,96.1698
533,92.1960,91.7364,95.6926,92.4867,92.2011,96.1654
534,92.1976,91.7385,95.6892,92.4889,92.2028,96.1611
535,92.1993,91.7405,95.6858,92.4910,92.2045,96.1568
536,92.2010,91.7426,95.6823,92.4932,92.2062,96.1524
537,92.2026,91.7446,95.6789,92.4943,92.2073,96.1486
538,92.2043,91.7467,95.6755,92.4954,92.2084,96.1447
539,92.2060,91.7487,95.6720,92.4965,92.2094,96.1408
540,92.2076,91.7508,95.6686,92.4976,92.2105,96.1370
541,92.2093,91.7529,95.6652,92.4986,92.2116,96.1331
542,92.2110,91.7549,95.6617,92.4997,92.2127,96.1292
543,92.2126,91.7570,95.6583,92.5008,92.2137,96.1254
544,92.2143,91.7590,95.6549,92.5019,92.2148,96.1215
545,92.2167,91.7608,95.6509,92.5030,92.2159,96.1176
546,92.2209,91.7619,95.6464,92.5040,92.2170,96.1138
547,92.2252,91.7631,95.6419,92.5051,92.2180,96.1099
548,92.2294,91.7642,95.6374,92.5062,92.2191,96.1060
549,92.2336,91.7653,95.6328,92.5073,92.2202,96.1022
550,92.2378,91.7664,95.6283,92.5084,92.2213,96.0983
551,92.2421,91.7675,95.6238,92.5094,92.2223,96.0945
552,92.2463,91.7687,95.6193,92.5115,92.2234,96.0902
553,92.2505,91.7698,95.6148,92.5137,92.2245,96.0858
554,92.2547,91.7709,95.6103,92.5158,92.2256,96.0815
555,92.2589,91.7720,95.6057,92.5180,92.2267,96.0772
556,92.2632,91.7732,95.6012,92.5202,92.2278,96.0728
557,92.2674,91.7743,95.5967,92.5223,92.2289,96.0685
558,92.2716,91.7754,95.5922,92.5245,92.2299,96.0641
559,92.2758,91.7765,95.5877,92.5267,92.2310,96.0598
560,92.2801,91.7777,95.5831,92.5288,92.2321,96.0555
561,92.2843,91.7788,95.5786,92.5310,92.2332,96.0511
562,92.2885,91.7799,95.5741,92.5332,92.2343,96.0468
563,92.2927,91.7810,95.5696,92.5353,92.2354,96.0425
564,92.2969,91.7821,95.5651,92.5375,92.2365,96.0381
565,92.3012,91.7833,95.5606,92.5397,92.2376,96.0338
566,92.3054,91.7844,95.5560,92.5418,92.2386,96.0295
567,92.3096,91.7855,95.5515,92.5436,92.2397,96.0255
568,92.3138,91.7866,95.5470,92.5453,92.2408,96.0217
569,92.3181,91.7878,95.5425,92.5470,92.2419,96.0178
570,92.3223,91.7889,95.5380,92.5487,92.2430,96.0139
571,92.3265,91.7900,95.5335,92.5504,92.2441,96.0101
572,92.3307,91.7911,95.5289,92.5521,92.2452,96.0062
573,92.3350,91.7922,95.5244,92.5538,92.2462,96.0024
574,92.3392,91.7934,95.5199,92.5555,92.2473,95.9985
575,92.3434,91.7945,95.5154,92.5572,92.2484,95.9946
576,92.3476,91.7956,95.5109,92.5589,92.2495,95.9908
577,92.3518,91.7967,95.5063,92.5606,92.2506,95.9869
578,92.3561,91.7979,95.5018,92.5623,92.2517,95.9831
579,92.3603,91.7990,95.4973,92.5640,92.2528,95.9792
580,92.3645,91.8001,95.4928,92.5657,92.2539,95.9754
581,92.3687,91.8012,95.4883,92.5674,92.2549,95.9715
582,92.3730,91.8024,95.4838,92.5694,92.2560,95.9676
583,92.3772,91.8035,95.4792,92.5716,92.2571,95.9638
584,92.3814,91.8046,95.4747,92.5738,92.2582,95.9599
585,92.3856,91.8057,95.4702,92.5760,92.2593,95.9560
586,92.3899,91.8068,95.4657,92.5781,92.2604,95.9521
587,92.3941,91.8080,95.4612,92.5803,92.2614,95.9483
588,92.3983,91.8091,95.4566,92.5825,92.2625,95.9444
589,92.4025,91.8102,95.4521,92.5847,92.2636,95.9405
590,92.4067,91.8113,95.4476,92.5868,92.2647,95.9367
591,92.4110,91.8125,95.4431,92.5890,92.2658,95.9328
592,92.4152,91.8136,95.4386,92.5912,92.2668,95.9289
593,92.4194,91.8147,95.4341,92.5934,92.2679,95.9250
594,92.4236,91.8158,95.4295,92.5955,92.2690,95.9212
595,92.4279,91.8169,95.4250,92.5977,92.2701,95.9173
596,92.4321,91.8181,95.4205,92.5999,92.2712,95.9134
597,92.4363,91.8192,95.4160,92.6021,92.2723,95.9099
598,92.4405,91.8203,95.4115,92.6042,92.2733,95.9066
599,92.4448,91.8214,95.4069,92.6064,92.2744,95.9034
600,92.4490,91.8226,95.4024,92.6086,92.2755,95.9001
601,92.4532,91.8237,95.3979,92.6108,92.2766,95.8968
602,92.4574,91.8248,95.3934,92.6130,92.2777,95.8935
603,92.4616,91.8259,95.3889,92.6152,92.2788,95.8902
604,92.4659,91.8271,95.3844,92.6174,92.2799,95.8869
605,92.4699,91.8282,95.3802,92.6196,92.2810,95.8836
606,92.4689,91.8301,95.3770,92.6217,92.2821,95.8803
607,92.4680,91.8320,95.3737,92.6239,92.2832,95.8771
608,92.4670,91.8339,95.3704,92.6261,92.2843,95.8738
609,92.4660,91.8358,95.3671,92.6283,92.2854,95.8705
610,92.4650,91.8377,95.3639,92.6305,92.2865,95.8672
611,92.4641,91.8396,95.3606,92.6327,92.2876,95.8639
612,92.4631,91.8415,95.3573,92.6341,92.2890,95.8607
613,92.4621,91.8434,95.3541,92.6351,92.2905,95.8574
614,92.4612,91.8453,95.3508,92.6362,92.2921,95.8542
615,92.4602,91.8472,95.3475,92.6373,92.2936,95.8509
616,92.4592,91.8491,95.3443,92.6384,92.2952,95.8477
617,92.4583,91.8510,95.3410,92.6395,92.2967,95.8444
618,92.4573,91.8529,95.3377,92.6406,92.2983,95.8412
619,92.4563,91.8548,95.3345,92.6417,92.2998,95.8379
620,92.4554,91.8567,95.3312,92.6427,92.3013,95.8347
621,92.4544,91.8586,95.3279,92.6438,92.3029,95.8314
622,92.4534,91.8605,95.3246,92.6449,92.3044,95.8282
623,92.4524,91.8624,95.3214,92.6460,92.3060,95.8249
624,92.4515,91.8643,95.3181,92.6471,92.3075,95.8217
625,92.4505,91.8662,95.3148,92.6482,92.3091,95.8185
626,92.4495,91.8681,95.3116,92.6493,92.3106,95.8152
627,92.4486,91.8700,95.3083,92.6510,92.3119,95.8120
628,92.4476,91.8719,95.3050,92.6532,92.3132,95.8087
629,92.4466,91.8738,95.3018,92.6554,92.3144,95.8055
630,92.4457,91.8757,95.2985,92.6575,92.3157,95.8022
631,92.4447,91.8776,95.2952,92.6597,92.3169,95.7990
632,92.4437,91.8794,95.2920,92.6619,92.3181,95.7957
633,92.4428,91.8813,95.2887,92.6641,92.3194,95.7925
634,92.4418,91.8832,95.2854,92.6662,92.3206,95.7892
635,92.4408,91.8851,95.2822,92.6684,92.3219,95.7860
636,92.4398,91.8870,95.2789,92.6706,92.3231,95.7827
637,92.4389,91.8889,95.2756,92.6727,92.3243,95.7795
638,92.4379,91.8908,95.2723,92.6749,92.3256,95.7762
639,92.4369,91.8927,95.2691,92.6771,92.3268,95.7730
640,92.4360,91.8946,95.2658,92.6792,92.3281,95.7697
641,92.4350,91.8965,95.2625,92.6814,92.3293,95.7665
642,92.4340,91.8984,95.2593,92.6827,92.3307,95.7632
643,92.4331,91.9003,95.2560,92.6833,92.3323,95.7600
644,92.4321,91.9022,95.2527,92.6839,92.3338,95.7567
645,92.4311,91.9041,95.2495,92.6845,92.3354,95.7535
646,92.4302,91.9060,95.2462,92.6852,92.3369,95.7502
647,92.4292,91.9079,95.2429,92.6858,92.3384,95.7470
648,92.4282,91.9098,95.2397,92.6864,92.3400,95.7437
649,92.4272,91.9117,95.2364,92.6870,92.3415,95.7405
650,92.4263,91.9136,95.2331,92.6876,92.3431,95.7372
651,92.4253,91.9155,95.2298,92.6882,92.3446,95.7340
652,92.4243,91.9174,95.2266,92.6889,92.3462,95.7307
653,92.4234,91.9193,95.2233,92.6895,92.3477,95.7275
654,92.4224,91.9212,95.2200,92.6901,92.3493,95.7242
655,92.4214,91.9231,95.2168,92.6907,92.3508,95.7210
656,92.4205,91.9250,95.2135,92.6913,92.3524,95.7177
657,92.4195,91.9269,95.2102,92.6927,92.3537,95.7147
658,92.4185,91.9288,95.2070,92.6949,92.3548,95.7119
659,92.4176,91.9307,95.2037,92.6970,92.3558,95.7091
660,92.4166,91.9326,95.2004,92.6992,92.3569,95.7064
661,92.4156,91.9345,95.1972,92.7014,92.3580,95.7036
662,92.4147,91.9364,95.1939,92.7035,92.3591,95.7008
663,92.4137,91.9383,95.1906,92.7057,92.3602,95.6980
664,92.4127,91.9402,95.1874,92.7079,92.3613,95.6952
665,92.4117,91.9421,95.1841,92.7100,92.3624,95.6924
666,92.4136,91.9438,95.1844,92.7122,92.3635,95.6897
667,92.4162,91.9454,95.1848,92.7144,92.3645,95.6869
668,92.4188,91.9470,95.1852,92.7165,92.3656,95.6841
669,92.4214,91.9487,95.1856,92.7187,92.3667,95.6813
670,92.4240,91.9503,95.1860,92.7209,92.3678,95.6785
671,92.4266,91.9519,95.1864,92.7230,92.3689,95.6757
672,92.4292,91.9535,95.1868,92.7254,92.3702,95.6728
673,92.4318,91.9552,95.1872,92.7282,92.3719,95.6695
674,92.4344,91.9568,95.1876,92.7310,92.3736,95.6663
675,92.4370,91.9584,95.1880,92.7338,92.3753,95.6630
676,92.4395,91.9601,95.1884,92.7366,92.3770,95.6598
677,92.4421,91.9617,95.1888,92.7394,92.3787,95.6565
678,92.4447,91.9633,95.1892,92.7421,92.3804,95.6533
679,92.4473,91.9650,95.1897,92.7449,92.3821,95.6500
680,92.4499,91.9666,95.1901,92.7477,92.3838,95.6468
681,92.4525,91.9682,95.1905,92.7505,92.3855,95.6435
682,92.4551,91.9698,95.1909,92.7533,92.3872,95.6403
683,92.4577,91.9715,95.1913,92.7561,92.3889,95.6371
684,92.4603,91.9731,95.1917,92.7588,92.3906,95.6338
685,92.4629,91.9747,95.1921,92.7616,92.3923,95.6306
686,92.4655,91.9764,95.1925,92.7644,92.3940,95.6273
687,92.4681,91.9780,95.1929,92.7667,92.3955,95.6242
688,92.4707,91.9796,95.1933,92.7678,92.3966,95.6214
689,92.4733,91.9812,95.1937,92.7688,92.3977,95.6186
690,92.4759,91.9829,95.1941,92.7699,92.3988,95.6157
691,92.4785,91.9845,95.1945,92.7710,92.3999,95.6129
692,92.4811,91.9861,95.1949,92.7721,92.4010,95.6101
693,92.4837,91.9878,95.1954,92.7732,92.4021,95.6073
694,92.4863,91.9894,95.1958,92.7743,92.4032,95.6045
695,92.4889,91.9910,95.1962,92.7754,92.4043,95.6017
696,92.4915,91.9927,95.1966,92.7765,92.4054,95.5988
697,92.4941,91.9943,95.1970,92.7775,92.4065,95.5960
698,92.4967,91.9959,95.1974,92.7786,92.4076,95.5932
699,92.4993,91.9975,95.1978,92.7797,92.4087,95.5904
700,92.5019,91.9992,95.1982,92.7808,92.4098,95.5876
701,92.5045,92.0008,95.1986,92.7819,92.4109,95.5848
702,92.5071,92.0024,95.1990,92.7834,92.4120,95.5819
703,92.5097,92.0041,95.1994,92.7856,92.4131,95.5792
704,92.5123,92.0057,95.1998,92.7878,92.4141,95.5764
705,92.5149,92.0073,95.2002,92.7899,92.4152,95.5736
706,92.5175,92.0090,95.2006,92.7921,92.4163,95.5708
707,92.5201,92.0106,95.2011,92.7943,92.4174,95.5680
708,92.5227,92.0122,95.2015,92.7964,92.4185,95.5652
709,92.5253,92.0138,95.2019,92.7986,92.4195,95.5625
710,92.5279,92.0155,95.2023,92.8008,92.4206,95.5597
711,92.5305,92.0171,95.2027,92.8029,92.4217,95.5569
712,92.5331,92.0187,95.2031,92.8051,92.4228,95.5541
713,92.5357,92.0204,95.2035,92.8073,92.4239,95.5513
714,92.5383,92.0220,95.2039,92.8094,92.4249,95.5485
715,92.5409,92.0236,95.2043,92.8116,92.4260,95.5457
716,92.5435,92.0252,95.2047,92.8138,92.4271,95.5430
717,92.5461,92.0269,95.2051,92.8156,92.4282,95.5402
718,92.5487,92.0285,95.2055,92.8167,92.4293,95.5375
719,92.5513,92.0301,95.2059,92.8179,92.4305,95.5347
720,92.5539,92.0318,95.2063,92.8190,92.4316,95.5320
721,92.5565,92.0334,95.2068,92.8201,92.4327,95.5293
722,92.5591,92.0350,95.2072,92.8212,92.4338,95.5266
723,92.5617,92.0367,95.2076,92.8224,92.4350,95.5238
724,92.5643,92.0383,95.2080,92.8235,92.4361,95.5211
725,92.5669,92.0399,95.2084,92.8246,92.4372,95.5184
726,92.5677,92.0413,95.2038,92.8257,92.4383,95.5156
727,92.5674,92.0425,95.1979,92.8269,92.4395,95.5129
728,92.5671,92.0438,95.1920,92.8280,92.4406,95.5102
729,92.5669,92.0450,95.1861,92.8291,92.4417,95.5075
730,92.5666,92.0462,95.1802,92.8302,92.4428,95.5047
731,92.5663,92.0475,95.1743,92.8314,92.4440,95.5020
732,92.5661,92.0487,95.1684,92.8325,92.4451,95.4997
733,92.5658,92.0500,95.1625,92.8336,92.4462,95.4975
734,92.5655,92.0512,95.1566,92.8347,92.4472,95.4953
735,92.5653,92.0524,95.1507,92.8358,92.4483,95.4931
736,92.5650,92.0537,95.1448,92.8368,92.4494,95.4909
737,92.5647,92.0549,95.1389,92.8379,92.4505,95.4887
738,92.5644,92.0561,95.1330,92.8390,92.4516,95.4865
739,92.5642,92.0574,95.1271,92.8401,92.4527,95.4843
740,92.5639,92.0586,95.1212,92.8412,92.4538,95.4821
741,92.5636,92.0599,95.1153,92.8423,92.4549,95.4799
742,92.5634,92.0611,95.1094,92.8434,92.4559,95.4777
743,92.5631,92.0623,95.1036,92.8445,92.4570,95.4755
744,92.5628,92.0636,95.0977,92.8456,92.4581,95.4733
745,92.5626,92.0648,95.0918,92.8467,92.4592,95.4711
746,92.5623,92.0660,95.0859,92.8478,92.4603,95.4689
747,92.5620,92.0673,95.0800,92.8498,92.4619,95.4667
748,92.5618,92.0685,95.0741,92.8520,92.4636,95.4646
749,92.5615,92.0698,95.0682,92.8541,92.4653,95.4624
750,92.5612,92.0710,95.0623,92.8563,92.4670,95.4602
751,92.5610,92.0722,95.0564,92.8585,92.4687,95.4581
752,92.5607,92.0735,95.0505,92.8606,92.4705,95.4559
753,92.5604,92.0747,95.0446,92.8628,92.4722,95.4538
754,92.5602,92.0759,95.0387,92.8650,92.4739,95.4516
755,92.5599,92.0772,95.0328,92.8671,92.4756,95.4494
756,92.5596,92.0784,95.0269,92.8693,92.4773,95.4473
757,92.5593,92.0796,95.0210,92.8715,92.4790,95.4451
758,92.5591,92.0809,95.0151,92.8736,92.4807,95.4430
759,92.5588,92.0821,95.0092,92.8758,92.4824,95.4408
760,92.5585,92.0834,95.0033,92.8780,92.4841,95.4386
761,92.5583,92.0846,94.9974,92.8801,92.4858,95.4365
762,92.5580,92.0858,94.9915,92.8823,92.4871,95.4342
763,92.5577,92.0871,94.9856,92.8845,92.4881,95.4319
764,92.5575,92.0883,94.9798,92.8866,92.4892,95.4296
765,92.5572,92.0895,94.9739,92.8888,92.4903,95.4272
766,92.5569,92.0908,94.9680,92.8910,92.4914,95.4249
767,92.5567,92.0920,94.9621,92.8931,92.4924,95.4226
768,92.5564,92.0933,94.9562,92.8953,92.4935,95.4203
769,92.5561,92.0945,94.9503,92.8974,92.4946,95.4180
770,92.5559,92.0957,94.9444,92.8996,92.4957,95.4157
771,92.5556,92.0970,94.9385,92.9018,92.4967,95.4134
772,92.5553,92.0982,94.9326,92.9039,92.4978,95.4111
773,92.5550,92.0994,94.9267,92.9061,92.4989,95.4087
774,92.5548,92.1007,94.9208,92.9082,92.5000,95.4064
775,92.5545,92.1019,94.9149,92.9104,92.5010,95.4041
776,92.5542,92.1032,94.9090,92.9126,92.5021,95.4018
777,92.5540,92.1044,94.9031,92.9137,92.5032,95.3993
778,92.5537,92.1056,94.8972,92.9143,92.5043,95.3966
779,92.5534,92.1069,94.8913,92.9149,92.5054,95.3940
780,92.5532,92.1081,94.8854,92.9155,92.5065,95.3913
781,92.5529,92.1093,94.8795,92.9162,92.5075,95.3887
782,92.5526,92.1106,94.8736,92.9168,92.5086,95.3861
783,92.5524,92.1118,94.8677,92.9174,92.5097,95.3834
784,92.5521,92.1130,94.8619,92.9180,92.5108,95.3808
785,92.5518,92.1143,94.8560,92.9187,92.5119,95.3782
786,92.5527,92.1153,94.8522,92.9193,92.5130,95.3755
787,92.5565,92.1159,94.8498,92.9199,92.5141,95.3729
788,92.5604,92.1164,94.8473,92.9205,92.5151,95.3702
789,92.5642,92.1170,94.8449,92.9211,92.5162,95.3676
790,92.5680,92.1175,94.8424,92.9218,92.5173,95.3650
791,92.5719,92.1181,94.8400,92.9224,92.5184,95.3623
792,92.5757,92.1186,94.8375,92.9239,92.5198,95.3600
793,92.5796,92.1191,94.8351,92.9261,92.5213,95.3578
794,92.5834,92.1197,94.8326,92.9283,92.5229,95.3557
795,92.5872,92.1202,94.8301,92.9304,92.5244,95.3535
796,92.5911,92.1208,94.8277,92.9326,92.5260,95.3513
797,92.5949,92.1213,94.8252,92.9347,92.5275,95.3492
798,92.5988,92.1219,94.8228,92.9369,92.5291,95.3470
799,92.6026,92.1224,94.8203,92.9391,92.5306,95.3448
800,92.6065,92.1229,94.8179,92.9412,92.5322,95.3427
801,92.6103,92.1235,94.8154,92.9434,92.5337,95.3405
802,92.6141,92.1240,94.8130,92.9456,92.5353,95.3384
803,92.6180,92.1246,94.8105,92.9477,92.5368,95.3362
804,92.6218,92.1251,94.8080,92.9499,92.5384,95.3340
805,92.6257,92.1257,94.8056,92.9520,92.5399,95.3319
806,92.6295,92.1262,94.8031,92.9542,92.5415,95.3297
807,92.6333,92.1267,94.8007,92.9560,92.5428,95.3278
808,92.6372,92.1273,94.7982,92.9576,92.5439,95.3261
809,92.6410,92.1278,94.7958,92.9591,92.5450,95.3244
810,92.6449,92.1284,94.7933,92.9607,92.5461,95.3227
811,92.6487,92.1289,94.7909,92.9622,92.5471,95.3210
812,92.6525,92.1295,94.7884,92.9638,92.5482,95.3193
813,92.6564,92.1300,94.7859,92.9653,92.5493,95.3176
814,92.6602,92.1306,94.7835,92.9669,92.5504,95.3159
815,92.6641,92.1311,94.7810,92.9684,92.5515,95.3142
816,92.6679,92.1316,94.7786,92.9699,92.5526,95.3125
817,92.6717,92.1322,94.7761,92.9715,92.5537,95.3108
818,92.6756,92.1327,94.7737,92.9730,92.5547,95.3091
819,92.6794,92.1333,94.7712,92.9746,92.5558,95.3074
